A,B,CW,DQ,DR,DR51,DR52,DR53,TOTfreq
A1,B13,CW4,DQ6,DR15,DR51,NA,NA,6.01993e-5
A1,B13,CW6,DQ2,DR7,NA,NA,DR53,0.001053487
A1,B13,CW6,DQ4,DR8,NA,NA,DR53,7.02325e-5
A1,B13,CW6,DQ5,DR14,NA,DR52,NA,6.01993e-5
A1,B13,CW6,DQ6,DR13,NA,DR52,NA,5.0166e-5
A1,B13,CW6,DQ7,DR11,NA,DR52,NA,5.0166e-5
A1,B13,CW6,DQ7,DR4,NA,NA,DR53,7.02325e-5
A1,B13,CW6,DQ7,DR8,NA,NA,DR53,6.01993e-5
A1,B15,CW1,DQ5,DR1,NA,NA,NA,6.01993e-5
A1,B15,CW1,DQ6,DR13,NA,DR52,NA,7.02325e-5
A1,B15,CW1,DQ9,DR9,NA,NA,DR53,6.01993e-5
A1,B15,CW10,DQ2,DR17,NA,DR52,NA,7.02325e-5
A1,B15,CW10,DQ7,DR12,NA,DR52,NA,5.0166e-5
A1,B15,CW10,DQ8,DR4,NA,NA,DR53,9.53155e-4
A1,B15,CW12,DQ2,DR7,NA,NA,DR53,6.01993e-5
A1,B15,CW4,DQ6,DR13,NA,DR52,NA,1.10365e-4
A1,B15,CW4,DQ7,DR12,NA,DR52,NA,6.01993e-5
A1,B15,CW4,DQ8,DR4,NA,NA,DR53,6.01993e-5
A1,B15,CW7,DQ5,DR14,NA,DR52,NA,2.00664e-5
A1,B15,CW7,DQ6,DR13,NA,DR52,NA,6.01993e-5
A1,B15,CW7,DQ8,DR4,NA,NA,DR53,2.00664e-5
A1,B15,CW9,DQ5,DR1,NA,NA,NA,3.1103e-4
A1,B15,CW9,DQ5,DR14,NA,DR52,NA,1.00332e-4
A1,B15,CW9,DQ6,DR13,NA,DR52,NA,7.12358e-4
A1,B15,CW9,DQ7,DR11,NA,DR52,NA,4.61528e-4
A1,B15,CW9,DQ7,DR4,NA,NA,DR53,5.0166e-5
A1,B15,CW9,DQ8,DR4,NA,NA,DR53,1.90631e-4
A1,B15,CW9,DQ9,DR9,NA,NA,DR53,5.0166e-5
A1,B18,CW12,DQ5,DR10,NA,NA,NA,4.01328e-5
A1,B18,CW12,DQ6,DR15,DR51,NA,NA,1.40465e-4
A1,B18,CW12,DQ7,DR11,NA,DR52,NA,3.21063e-4
A1,B18,CW15,DQ8,DR4,NA,NA,DR53,6.01993e-5
A1,B18,CW2,DQ6,DR13,NA,DR52,NA,6.01993e-5
A1,B18,CW5,DQ2,DR17,NA,DR52,NA,6.12026e-4
A1,B18,CW5,DQ5,DR1,NA,NA,NA,6.01993e-5
A1,B18,CW5,DQ5,DR14,NA,DR52,NA,4.01328e-5
A1,B18,CW5,DQ8,DR4,NA,NA,DR53,6.01993e-5
A1,B18,CW6,DQ7,DR11,NA,DR52,NA,6.01993e-5
A1,B18,CW7,DQ7,DR103,NA,NA,NA,6.01993e-5
A1,B18,CW7,DQ7,DR11,NA,DR52,NA,4.41461e-4
A1,B18,CW7,DQ7,DR4,NA,NA,DR53,6.01993e-5
A1,B18,CW7,DQ8,DR4,NA,NA,DR53,6.01993e-5
A1,B18,CW7,DQ9,DR9,NA,NA,DR53,2.00664e-5
A1,B27,CW1,DQ4,DR8,NA,NA,DR53,1.20399e-4
A1,B27,CW1,DQ5,DR1,NA,NA,NA,1.60531e-4
A1,B27,CW1,DQ6,DR13,NA,DR52,NA,7.02325e-5
A1,B27,CW1,DQ7,DR4,NA,NA,DR53,6.01993e-5
A1,B27,CW1,DQ7,DR8,NA,NA,DR53,6.01993e-5
A1,B27,CW15,DQ2,DR7,NA,NA,DR53,6.01993e-5
A1,B27,CW2,DQ2,DR17,NA,DR52,NA,2.10697e-4
A1,B27,CW2,DQ5,DR1,NA,NA,NA,3.31096e-4
A1,B27,CW2,DQ5,DR103,NA,NA,NA,6.01993e-5
A1,B27,CW2,DQ5,DR14,NA,DR52,NA,2.00664e-5
A1,B27,CW2,DQ5,DR16,DR51,NA,NA,1.70565e-4
A1,B27,CW2,DQ6,DR13,NA,DR52,NA,4.01328e-5
A1,B27,CW2,DQ6,DR15,DR51,NA,NA,1.10365e-4
A1,B27,CW2,DQ7,DR12,NA,DR52,NA,6.01993e-5
A1,B27,CW2,DQ8,DR4,NA,NA,DR53,3.31096e-4
A1,B27,CW2,DQ9,DR9,NA,NA,DR53,9.02989e-5
A1,B27,CW4,DQ9,DR9,NA,NA,DR53,6.01993e-5
A1,B27,CW7,DQ6,DR13,NA,DR52,NA,6.01993e-5
A1,B35,CW12,DQ5,DR15,DR51,NA,NA,6.01993e-5
A1,B35,CW12,DQ6,DR15,DR51,NA,NA,1.20399e-4
A1,B35,CW15,DQ7,DR11,NA,DR52,NA,1.30432e-4
A1,B35,CW4,DQ2,DR7,NA,NA,DR53,2.30764e-4
A1,B35,CW4,DQ4,DR8,NA,NA,DR53,1.40465e-4
A1,B35,CW4,DQ5,DR1,NA,NA,NA,0.001635413
A1,B35,CW4,DQ5,DR10,NA,NA,NA,2.5083e-4
